station|station_name|ctry|state|lat|lon|request_url
74594013705|ANDREWS AIR FORCE BASE AIRPORT|US|MD|38.817|-76.867|https://api.weather.gov/gridpoints/LWX/103,69/forecast
72606014764|PORTLAND INTERNATIONAL JETPORT AP|US|ME|43.642|-70.304|https://api.weather.gov/gridpoints/GYX/75,58/forecast
72635094860|GERALD R FORD INTERNATIONAL AIRPORT|US|MI|42.882|-85.523|https://api.weather.gov/gridpoints/GRR/46,44/forecast
72537094847|DETROIT METRO WAYNE COUNTY AIRPORT|US|MI|42.231|-83.331|https://api.weather.gov/gridpoints/DTX/57,28/forecast
72745014913|DULUTH INTERNATIONAL AIRPORT|US|MN|46.844|-92.187|https://api.weather.gov/gridpoints/DLH/88,72/forecast
72658014922|MINNEAPOLIS-ST PAUL INTERNATIONAL AP|US|MN|44.885|-93.231|https://api.weather.gov/gridpoints/MPX/110,68/forecast
72434013994|LAMBERT-ST LOUIS INTERNATIONAL AP|US|MO|38.752|-90.373|https://api.weather.gov/gridpoints/LSX/89,80/forecast
72446003947|KANSAS CITY INTERNATIONAL AIRPORT|US|MO|39.297|-94.731|https://api.weather.gov/gridpoints/EAX/38,60/forecast
74757093874|GULFPORT-BILOXI INTL ARPT|US|MS|30.412|-89.081|https://api.weather.gov/gridpoints/LIX/104,110/forecast
72235003940|JACKSON INTERNATIONAL AIRPORT|US|MS|32.32|-90.078|https://api.weather.gov/gridpoints/JAN/80,64/forecast
72679724132|GALLATIN FIELD AIRPORT|US|MT|45.788|-111.162|https://api.weather.gov/gridpoints/TFX/93,63/forecast
72677024033|BILLINGS LOGAN INTERNATIONAL AIRPORT|US|MT|45.807|-108.546|https://api.weather.gov/gridpoints/BYZ/101,93/forecast
72314013881|CHARLOTTE/DOUGLAS INTERNATIONAL AP|US|NC|35.223|-80.954|https://api.weather.gov/gridpoints/GSP/115,64/forecast
72317013723|PIEDMONT TRIAD INTERNATIONAL AIRPORT|US|NC|36.097|-79.943|https://api.weather.gov/gridpoints/RAH/26,66/forecast
72302013748|WILMINGTON INTERNATIONAL AIRPORT|US|NC|34.267|-77.9|https://api.weather.gov/gridpoints/ILM/91,70/forecast
72306013722|RALEIGH-DURHAM INTERNATIONAL AP|US|NC|35.892|-78.782|https://api.weather.gov/gridpoints/RAH/69,62/forecast
72753014914|HECTOR INTERNATIONAL AIRPORT|US|ND|46.924|-96.812|https://api.weather.gov/gridpoints/FGF/99,59/forecast
72550014942|EPPLEY AIRFIELD AIRPORT|US|NE|41.312|-95.902|https://api.weather.gov/gridpoints/OAX/84,62/forecast
72551014939|LINCOLN MUNICIPAL AIRPORT|US|NE|40.848|-96.765|https://api.weather.gov/gridpoints/OAX/54,41/forecast
74394514710|MANCHESTER AIRPORT|US|NH|42.93|-71.436|https://api.weather.gov/gridpoints/GYX/43,19/forecast
72407093730|ATLANTIC CITY INTERNATIONAL AIRPORT|US|NJ|39.452|-74.567|https://api.weather.gov/gridpoints/PHI/74,56/forecast
72502014734|NEWARK LIBERTY INTERNATIONAL AP|US|NJ|40.683|-74.169|https://api.weather.gov/gridpoints/OKX/28,33/forecast
72409514792|TRENTON MERCER AIRPORT|US|NJ|40.277|-74.816|https://api.weather.gov/gridpoints/PHI/60,92/forecast
72365023050|ALBUQUERQUE INTL SUNPORT AIRPORT|US|NM|35.042|-106.615|https://api.weather.gov/gridpoints/ABQ/99,117/forecast
72386023169|MCCARRAN INTERNATIONAL AIRPORT|US|NV|36.072|-115.163|https://api.weather.gov/gridpoints/VEF/121,94/forecast
72488023185|RENO/TAHOE INTERNATIONAL AIRPORT|US|NV|39.508|-119.768|https://api.weather.gov/gridpoints/REV/46,105/forecast
72518014735|ALBANY INTERNATIONAL AIRPORT|US|NY|42.747|-73.799|https://api.weather.gov/gridpoints/ALY/70,67/forecast
72503014732|LA GUARDIA AIRPORT|US|NY|40.779|-73.88|https://api.weather.gov/gridpoints/OKX/37,39/forecast
72519014771|SYRACUSE HANCOCK INTERNATIONAL AP|US|NY|43.111|-76.104|https://api.weather.gov/gridpoints/BGM/53,102/forecast
72528014733|BUFFALO NIAGARA INTERNATIONAL AP|US|NY|42.94|-78.736|https://api.weather.gov/gridpoints/BUF/40,50/forecast
72529014768|GREATER ROCHESTER INTERNATIONAL AP|US|NY|43.117|-77.675|https://api.weather.gov/gridpoints/BUF/75,63/forecast
74486094789|JOHN F KENNEDY INTERNATIONAL AIRPORT|US|NY|40.639|-73.764|https://api.weather.gov/gridpoints/OKX/42,33/forecast
